STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,NUMPOINTS,clean-income-data_Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,clean-income-data_Margin of Error!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,clean-income-data_Estimate!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,clean-income-data_Margin of Error!!Number!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households
"24","510","150701","24510150701",1400000US24510150701,"1507.01",Census Tract 1507.01,G5020,S,"858013","117437","+39.3193301","-076.6678344",18,"57875","17838","630","104"
"24","510","150702","24510150702",1400000US24510150702,"1507.02",Census Tract 1507.02,G5020,S,"391519","0","+39.3128159","-076.6678751",3,"47098","11413","727","86"
"24","510","160600","24510160600",1400000US24510160600,"1606",Census Tract 1606,G5020,S,"556403","0","+39.2967497","-076.6640074",13,"38337","11685","1159","214"
"24","510","271802","24510271802",1400000US24510271802,"2718.02",Census Tract 2718.02,G5020,S,"530270","0","+39.3446843","-076.6770690",12,"45848","14739","816","122"
"24","510","271900","24510271900",1400000US24510271900,"2719",Census Tract 2719,G5020,S,"1398986","0","+39.3556338","-076.6821514",28,"62247","17355","1418","152"
"24","510","151000","24510151000",1400000US24510151000,"1510",Census Tract 1510,G5020,S,"1484009","0","+39.3333561","-076.6843834",31,"49697","5440","1924","242"
"24","510","151100","24510151100",1400000US24510151100,"1511",Census Tract 1511,G5020,S,"1698800","0","+39.3303769","-076.6723437",26,"59264","11614","2797","377"
"24","510","150800","24510150800",1400000US24510150800,"1508",Census Tract 1508,G5020,S,"1089496","0","+39.3189672","-076.6778103",26,"51888","10397","2014","317"
"24","510","250206","24510250206",1400000US24510250206,"2502.06",Census Tract 2502.06,G5020,S,"2549600","18103","+39.2660587","-076.6622617",22,"72654","9836","857","108"
"24","510","250207","24510250207",1400000US24510250207,"2502.07",Census Tract 2502.07,G5020,S,"917475","380163","+39.2537970","-076.6279535",11,"50125","11674","836","93"
"24","510","250301","24510250301",1400000US24510250301,"2503.01",Census Tract 2503.01,G5020,S,"1891899","311271","+39.2623356","-076.6349462",14,"28750","7153","798","128"
"24","510","250303","24510250303",1400000US24510250303,"2503.03",Census Tract 2503.03,G5020,S,"1004607","30795","+39.2682540","-076.6482592",6,"45139","15660","733","117"
"24","510","250401","24510250401",1400000US24510250401,"2504.01",Census Tract 2504.01,G5020,S,"1181295","31347","+39.2367295","-076.6066394",14,"45044","5858","1481","193"
"24","510","250402","24510250402",1400000US24510250402,"2504.02",Census Tract 2504.02,G5020,S,"702436","0","+39.2307268","-076.6015251",10,"32385","4570","1525","162"
"24","510","272003","24510272003",1400000US24510272003,"2720.03",Census Tract 2720.03,G5020,S,"1934714","0","+39.3633286","-076.6854724",21,"71584","6408","2129","241"
"24","510","280101","24510280101",1400000US24510280101,"2801.01",Census Tract 2801.01,G5020,S,"1408316","0","+39.3516279","-076.6998407",16,"52500","14118","1176","166"
"24","510","280102","24510280102",1400000US24510280102,"2801.02",Census Tract 2801.02,G5020,S,"3498689","0","+39.3411885","-076.7000831",50,"53373","7570","2460","264"
"24","510","280200","24510280200",1400000US24510280200,"2802",Census Tract 2802,G5020,S,"2413240","0","+39.3274111","-076.7016139",17,"68750","33029","1638","241"
"24","510","280302","24510280302",1400000US24510280302,"2803.02",Census Tract 2803.02,G5020,S,"1006761","0","+39.3179241","-076.6935132",21,"67500","33422","1324","408"
"24","510","030200","24510030200",1400000US24510030200,"302",Census Tract 302,G5020,S,"506036","91912","+39.2865363","-076.6022612",11,"114630","32983","1404","216"
"24","510","040100","24510040100",1400000US24510040100,"401",Census Tract 401,G5020,S,"1189600","0","+39.2903959","-076.6149601",89,"67277","9672","4193","439"
"24","510","040200","24510040200",1400000US24510040200,"402",Census Tract 402,G5020,S,"435698","0","+39.2903223","-076.6250565",22,"40625","20754","406","82"
"24","510","060400","24510060400",1400000US24510060400,"604",Census Tract 604,G5020,S,"430129","0","+39.2950986","-076.5909176",20,"44735","16711","880","131"
"24","510","070100","24510070100",1400000US24510070100,"701",Census Tract 701,G5020,S,"290634","0","+39.2998323","-076.5754298",5,"54506","11426","713","147"
"24","510","070200","24510070200",1400000US24510070200,"702",Census Tract 702,G5020,S,"311145","0","+39.2996608","-076.5810142",8,"36818","8356","992","142"
"24","510","070300","24510070300",1400000US24510070300,"703",Census Tract 703,G5020,S,"228689","0","+39.2994991","-076.5859396",6,"48083","25313","371","98"
"24","510","070400","24510070400",1400000US24510070400,"704",Census Tract 704,G5020,S,"326989","0","+39.3002032","-076.5928470",15,"25000","11091","764","125"
"24","510","250500","24510250500",1400000US24510250500,"2505",Census Tract 2505,G5020,S,"8584546","4070107","+39.2176239","-076.5823444",31,"42073","17782","2057","449"
