DP05_0001E,DP05_0077PE,GEO_ID
Estimate!!SEX AND AGE!!Total population,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,id
3649,94.9,1400000US13051011004
4726,96.1,1400000US13051011005
4350,93.7,1400000US13051011006
3460,95.7,1400000US13051011103
5757,79.7,1400000US13051011104
5583,78.9,1400000US13051011106
3310,89.7,1400000US13051011107
3106,83.6,1400000US13051011108
6971,93.7,1400000US13051011109
1612,75.7,1400000US13051011200
2180,48.1,1400000US13051011300
1883,51.2,1400000US13051011400
2455,76.5,1400000US13051011500
2110,0.8,1400000US13051011600
0,-,1400000US13051980000
0,-,1400000US13051990000
2523,60.6,1400000US13053020100
3167,52.8,1400000US13053020201
1678,50.7,1400000US13053020203
2455,67.2,1400000US13053020205
737,51,1400000US13053020206
2004,96.8,1400000US13055010100
6370,78.9,1400000US13055010200
2737,96.5,1400000US13055010300
5344,89.3,1400000US13055010400
5807,64.9,1400000US13055010500
2550,93.8,1400000US13055010600
10145,91.6,1400000US13057090100
8370,86.2,1400000US13057090200
12544,89.5,1400000US13057090300
9110,65.6,1400000US13057090400
6848,93.3,1400000US13057090501
15936,94.4,1400000US13057090502
8038,64,1400000US13057090601
8263,65.8,1400000US13057090602
23491,68.1,1400000US13057090701
7697,83.2,1400000US13057090702
7584,91.2,1400000US13057090802
11939,83.5,1400000US13057090803
9670,82.7,1400000US13057090804
8527,82.5,1400000US13057090901
16463,76.6,1400000US13057090902
10465,68.8,1400000US13057090904
4206,80,1400000US13057090905
4922,65.2,1400000US13057091001
8172,69.5,1400000US13057091003
7399,69.1,1400000US13057091005
5259,88.6,1400000US13057091006
6719,86.4,1400000US13057091007
9507,76.7,1400000US13057091008
6501,84.4,1400000US13057091101
9623,68.4,1400000US13057091102
10117,77.1,1400000US13057091103
2285,85.4,1400000US13059000100
1410,42.3,1400000US13059000401
8352,67.8,1400000US13059000402
3239,49,1400000US13059000600
3967,29,1400000US13059000900
3163,70.1,1400000US13059001200
2086,56.6,1400000US13059001700
2303,74.3,1400000US13059001800
3207,73.2,1400000US13059001900
1849,84,1400000US13059002000
4199,84.2,1400000US13059002100
2505,83.8,1400000US13059002200
6171,47.9,1400000US13059030100
5327,23.5,1400000US13059030200
5816,24.4,1400000US13059130300
6054,51.4,1400000US13059130400
2907,53.5,1400000US13059130500
6858,55,1400000US13059130600
6103,63.7,1400000US13059130700
5429,22.7,1400000US13059140300
3575,20.8,1400000US13059140400
1899,25.1,1400000US13059140500
4674,55.9,1400000US13059140600
3392,54.5,1400000US13059150300
4325,72.8,1400000US13059150400
4869,70.9,1400000US13059150500
3688,59.2,1400000US13059150600
5566,62.1,1400000US13059150700
6674,61,1400000US13059150800
4284,61.8,1400000US13059150900
2951,35.4,1400000US13061960300
2850,4.8,1400000US13063040202
3735,1.6,1400000US13063040203
4648,1.7,1400000US13063040204
5740,19.5,1400000US13063040302
6666,11.2,1400000US13063040303
4502,1.8,1400000US13063040306
5038,18.3,1400000US13063040307
4262,15.3,1400000US13063040308
4046,9.7,1400000US13063040407
8489,9.4,1400000US13063040408
5915,10,1400000US13063040409
7166,7.5,1400000US13063040410
13311,13,1400000US13063040411
7920,5.3,1400000US13063040412
7329,8.4,1400000US13063040413
2068,17.1,1400000US13063040414
6527,5.2,1400000US13063040415
3746,14.3,1400000US13063040416
5850,5.7,1400000US13063040417
4698,2.9,1400000US13063040509
3892,3,1400000US13063040510
5552,3.9,1400000US13063040512
4604,9.8,1400000US13063040513
7778,3.5,1400000US13063040514
7359,4.9,1400000US13063040515
6535,6.9,1400000US13063040516
5789,7.3,1400000US13063040518
4854,1.2,1400000US13063040519
4153,2.1,1400000US13063040520
3563,7.4,1400000US13063040521
4969,8.4,1400000US13063040522
2984,10.7,1400000US13063040523
7343,10.2,1400000US13063040524
3124,5.2,1400000US13063040525
7061,7.8,1400000US13063040526
3894,26.4,1400000US13063040606
13393,10.2,1400000US13063040608
6698,14.4,1400000US13063040609
6850,12.3,1400000US13063040611
7938,15.8,1400000US13063040612
8399,20.4,1400000US13063040613
4971,38.1,1400000US13063040614
2111,15.5,1400000US13063040615
8451,7.5,1400000US13063040616
1329,27.5,1400000US13063040617
2556,3.8,1400000US13063040619
4575,13.2,1400000US13063040620
10083,8.4,1400000US13063040621
8224,13.9,1400000US13063040622
0,-,1400000US13063980000
5221,70.5,1400000US13065970100
1465,46.1,1400000US13065970200
7908,82.5,1400000US13067030101
9369,54.6,1400000US13067030103
3883,69.9,1400000US13067030104
7059,46.8,1400000US13067030106
5395,52,1400000US13067030107
7662,65.1,1400000US13067030209
7654,75.1,1400000US13067030214
9696,60.7,1400000US13067030215
5190,72.3,1400000US13067030218
10652,75.4,1400000US13067030219
